provincia_id,provincia_nombre,genero,anio_cambio,cantidad
62,Río Negro,F,2016,7
62,Río Negro,M,2016,6
62,Río Negro,F,2017,9
62,Río Negro,M,2017,3
62,Río Negro,F,2018,7
62,Río Negro,M,2018,19
62,Río Negro,F,2019,6
62,Río Negro,M,2019,17
62,Río Negro,F,2020,7
62,Río Negro,M,2020,16
62,Río Negro,F,2021,10
62,Río Negro,M,2021,35
62,Río Negro,X,2021,1
62,Río Negro,F,2022,19
62,Río Negro,M,2022,35
62,Río Negro,X,2022,17
62,Río Negro,F,2023,14
62,Río Negro,M,2023,27
62,Río Negro,X,2023,12
62,Río Negro,M,2024,1
62,Río Negro,X,2024,5
66,Salta,F,2012,76
66,Salta,M,2012,12
66,Salta,F,2013,76
66,Salta,M,2013,12
66,Salta,F,2014,52
66,Salta,M,2014,5
66,Salta,F,2015,54
66,Salta,M,2015,7
66,Salta,F,2016,51
66,Salta,M,2016,8
66,Salta,F,2017,35
66,Salta,M,2017,6
66,Salta,F,2018,35
66,Salta,M,2018,12
66,Salta,F,2019,23
66,Salta,M,2019,26
66,Salta,F,2020,5
66,Salta,M,2020,10
66,Salta,F,2021,30
66,Salta,M,2021,23
66,Salta,X,2021,3
66,Salta,F,2022,42
66,Salta,M,2022,30
66,Salta,X,2022,11
66,Salta,F,2023,33
66,Salta,M,2023,37
66,Salta,X,2023,13
66,Salta,F,2024,1
66,Salta,M,2024,1
66,Salta,X,2024,1
70,San Juan,F,2012,22
70,San Juan,M,2012,4
70,San Juan,F,2013,21
70,San Juan,M,2013,4
70,San Juan,F,2014,11
70,San Juan,F,2015,22
70,San Juan,M,2015,3
70,San Juan,F,2016,9
70,San Juan,M,2016,1
70,San Juan,F,2017,8
70,San Juan,M,2017,2
70,San Juan,F,2018,7
70,San Juan,M,2018,11
70,San Juan,F,2019,17
70,San Juan,M,2019,13
70,San Juan,F,2020,19
70,San Juan,M,2020,10
70,San Juan,F,2021,15
70,San Juan,M,2021,14
70,San Juan,X,2021,4
70,San Juan,F,2022,20
70,San Juan,M,2022,19
70,San Juan,X,2022,4
70,San Juan,F,2023,15
70,San Juan,M,2023,10
70,San Juan,X,2023,5
70,San Juan,F,2024,1
70,San Juan,X,2024,1
74,San Luis,F,2012,46
74,San Luis,M,2012,3
74,San Luis,F,2013,19
74,San Luis,M,2013,1
74,San Luis,F,2014,7
74,San Luis,F,2015,5
74,San Luis,M,2015,1
74,San Luis,F,2016,9
74,San Luis,M,2016,2
74,San Luis,F,2017,8
74,San Luis,M,2017,3
74,San Luis,F,2018,8
74,San Luis,M,2018,4
74,San Luis,F,2019,7
74,San Luis,M,2019,8
74,San Luis,F,2020,5
74,San Luis,M,2020,6
74,San Luis,F,2021,16
74,San Luis,M,2021,14
74,San Luis,X,2021,1
74,San Luis,F,2022,16
74,San Luis,M,2022,18
74,San Luis,X,2022,3
74,San Luis,F,2023,17
74,San Luis,M,2023,23
74,San Luis,X,2023,9
74,San Luis,F,2024,1
74,San Luis,M,2024,1
74,San Luis,X,2024,1
78,Santa Cruz,F,2012,16
78,Santa Cruz,M,2012,2
78,Santa Cruz,F,2013,11
78,Santa Cruz,M,2013,3
78,Santa Cruz,F,2014,5
78,Santa Cruz,M,2014,1
78,Santa Cruz,F,2015,3
78,Santa Cruz,F,2016,5
78,Santa Cruz,M,2016,3
78,Santa Cruz,F,2017,3
78,Santa Cruz,M,2017,7
78,Santa Cruz,F,2018,5
78,Santa Cruz,M,2018,9
78,Santa Cruz,F,2019,2
78,Santa Cruz,M,2019,11
78,Santa Cruz,F,2020,2
78,Santa Cruz,M,2020,4
78,Santa Cruz,F,2021,9
78,Santa Cruz,M,2021,15
78,Santa Cruz,X,2021,3
78,Santa Cruz,F,2022,12
78,Santa Cruz,M,2022,11
78,Santa Cruz,X,2022,4
78,Santa Cruz,F,2023,11
78,Santa Cruz,M,2023,14
78,Santa Cruz,X,2023,3
78,Santa Cruz,M,2024,1
78,Santa Cruz,X,2024,1
82,Santa Fe,F,2011,2
82,Santa Fe,F,2012,128
82,Santa Fe,M,2012,13
82,Santa Fe,F,2013,119
82,Santa Fe,M,2013,11
82,Santa Fe,F,2014,70
82,Santa Fe,M,2014,10
82,Santa Fe,F,2015,63
82,Santa Fe,M,2015,16
82,Santa Fe,F,2016,58
82,Santa Fe,M,2016,15
82,Santa Fe,F,2017,62
82,Santa Fe,M,2017,17
82,Santa Fe,F,2018,52
82,Santa Fe,M,2018,42
82,Santa Fe,F,2019,63
82,Santa Fe,M,2019,77
82,Santa Fe,F,2020,29
82,Santa Fe,M,2020,27
82,Santa Fe,F,2021,76
82,Santa Fe,M,2021,100
82,Santa Fe,X,2021,3
82,Santa Fe,F,2022,90
82,Santa Fe,M,2022,98
82,Santa Fe,X,2022,39
82,Santa Fe,F,2023,94
82,Santa Fe,M,2023,125
82,Santa Fe,X,2023,30
82,Santa Fe,F,2024,4
82,Santa Fe,M,2024,5
82,Santa Fe,X,2024,6
86,Santiago del Estero,F,2012,18
86,Santiago del Estero,M,2012,4
86,Santiago del Estero,F,2013,23
86,Santiago del Estero,M,2013,6
86,Santiago del Estero,F,2014,21
86,Santiago del Estero,M,2014,1
86,Santiago del Estero,F,2015,15
86,Santiago del Estero,F,2016,11
86,Santiago del Estero,M,2016,4
86,Santiago del Estero,F,2017,14
86,Santiago del Estero,M,2017,3
86,Santiago del Estero,F,2018,19
86,Santiago del Estero,M,2018,7
86,Santiago del Estero,F,2019,10
86,Santiago del Estero,M,2019,11
86,Santiago del Estero,F,2020,4
86,Santiago del Estero,M,2020,3
86,Santiago del Estero,F,2021,10
86,Santiago del Estero,M,2021,8
86,Santiago del Estero,X,2021,1
86,Santiago del Estero,F,2022,11
86,Santiago del Estero,M,2022,12
86,Santiago del Estero,X,2022,3
86,Santiago del Estero,F,2023,16
86,Santiago del Estero,M,2023,11
86,Santiago del Estero,X,2023,5
86,Santiago del Estero,F,2024,2
94,Tierra del Fuego,F,2012,4
94,Tierra del Fuego,M,2012,1
